ra ,dec,u,b,v,r,i,j,h,k
11.306,41.627,9999.000,9999.000,17.560,9999.000,9999.000,9999.000,9999.000,9999.000
11.012,41.240,18.110,18.090,17.570,17.158,16.200,14.934,9999.000,9999.000
10.039,41.185,18.400,18.350,17.570,17.070,16.410,15.963,15.161,15.536
10.722,41.271,18.760,18.583,17.577,17.172,16.811,9999.000,9999.000,9999.000
10.188,41.369,19.127,18.580,17.580,16.850,16.150,15.152,14.170,14.076
7.014,40.049,9999.000,9999.000,17.580,9999.000,16.640,15.766,15.185,15.120
10.215,40.735,18.168,18.244,17.585,16.923,15.880,13.964,12.983,12.609
10.259,41.009,18.854,18.480,17.589,17.005,16.322,14.591,9999.000,9999.000
10.870,41.377,18.906,18.537,17.589,16.966,16.680,15.542,14.763,14.488
10.076,40.546,18.230,18.060,17.590,17.100,16.240,9999.000,9999.000,9999.000
10.958,40.971,18.475,18.370,17.600,17.030,16.570,16.062,15.419,15.412
10.658,42.192,18.499,18.395,17.600,17.069,16.567,15.953,15.210,14.903
10.709,41.324,18.599,18.400,17.605,17.106,16.661,9999.000,14.605,9999.000
11.440,41.662,18.621,18.510,17.610,17.070,16.590,15.462,14.666,14.341
10.340,41.292,19.330,18.750,17.610,16.870,15.980,14.959,14.048,14.057
10.746,41.152,18.684,18.451,17.625,17.103,16.470,15.492,14.843,14.310
10.957,41.503,19.203,18.710,17.630,16.920,16.040,15.061,14.399,14.052
10.725,41.537,19.367,18.870,17.634,16.970,16.100,14.929,14.368,14.311
10.470,40.868,18.330,18.330,17.640,17.200,16.650,16.299,15.596,15.909
11.231,41.283,19.021,18.700,17.640,17.200,16.530,15.733,14.901,15.074
10.783,41.305,19.302,18.629,17.643,17.034,16.375,15.253,14.325,14.166
11.016,41.438,18.540,18.260,17.650,17.140,16.530,15.684,15.109,14.711
11.536,40.968,18.421,17.868,17.655,17.028,16.685,15.915,15.534,15.483
10.064,40.463,17.913,17.890,17.670,17.380,16.744,15.936,14.942,14.834
11.178,41.336,19.010,18.510,17.670,17.110,16.510,15.823,14.858,14.283
11.488,41.892,18.466,18.388,17.673,17.262,16.596,15.985,15.390,15.212
10.948,41.452,18.945,18.550,17.694,17.122,16.408,15.546,14.780,14.746
9.934,40.855,17.212,17.927,17.710,17.550,17.139,9999.000,9999.000,9999.000
10.337,40.985,19.565,19.080,17.710,16.990,16.380,15.689,14.603,14.860
12.190,42.394,18.561,18.486,17.714,17.267,16.727,15.374,15.495,15.190
8.572,37.512,18.457,18.396,17.716,17.229,16.680,15.903,15.165,15.140
10.791,41.317,19.586,18.829,17.723,17.045,16.362,15.114,14.268,14.030
10.107,41.715,18.603,18.404,17.724,17.207,16.555,15.500,15.177,15.188
10.808,41.189,18.360,18.380,17.730,17.191,16.650,15.185,9999.000,9999.000
10.350,40.613,17.939,18.033,17.733,17.750,17.470,9999.000,9999.000,9999.000
9.728,40.582,18.181,18.180,17.736,17.367,16.353,9999.000,9999.000,9999.000
